"","V1","V2","V3","V4"
"result.4",400,-1,5.78999999999905,5.92000000000007
"result.5",400,-1,5.74099999999999,6.35900000000038
"result.6",400,-1,4.60699999999997,5.63199999999961
"result.7",400,-1,5.38700000000063,5.84799999999996
"result.8",400,-1,5.59100000000035,6.10399999999936
"result.9",400,-1,4.18599999999969,5.50699999999961
"result.10",400,-1,4.96399999999994,5.61300000000119
"result.11",400,-1,4.68099999999868,6.15400000000045
"result.12",400,-1,4.40899999999965,5.9380000000001
"result.13",400,-1,4.83200000000033,5.19700000000012
"result.14",400,-1,4.66799999999967,5.99200000000019
"result.15",400,-1,5.5010000000002,4.878999999999
"result.16",400,-1,4.58199999999852,5.16200000000026
"result.17",400,-1,4.03299999999945,5.85100000000057
"result.18",400,-1,4.45999999999913,5.29000000000087
"result.19",400,-1,4.33699999999953,5.39099999999962
"result.20",400,-1,4.16499999999905,5.14399999999841
"result.21",400,-1,3.95400000000154,5.66100000000006
"result.22",400,-1,3.85799999999836,5.45800000000054
"result.23",400,-1,3.50699999999961,5.06999999999971
"result.24",400,-1,3.77300000000105,5.00200000000041
"result.1",500,-1,10.7970000000005,9.02199999999903
"result.2",500,-1,10.7100000000009,10.0439999999999
"result.3",500,-1,10.2039999999997,11.0769999999993
"result.4",500,-1,10.7060000000001,9.93100000000049
"result.5",500,-1,10.8240000000005,8.73999999999978
"result.6",500,-1,8.99799999999959,9.621000000001
"result.7",500,-1,9.76300000000083,8.93600000000151
"result.8",500,-1,10.0210000000006,9.0570000000007
"result.9",500,-1,11.4440000000013,9.69800000000032
"result.10",500,-1,10.8580000000002,9.65899999999965
"result.11",500,-1,10.619999999999,9.34599999999955
"result.12",500,-1,10.3860000000004,9.15500000000065
"result.13",500,-1,11.7080000000005,9.07600000000093
"result.14",500,-1,13.4239999999991,9.18900000000031
"result.15",500,-1,12.2399999999998,10.4449999999997
"result.16",500,-1,11.5909999999985,9.77700000000004
"result.17",500,-1,11.1239999999998,9.45399999999972
"result.18",500,-1,12.0329999999994,9.19399999999951
"result.19",500,-1,11.8419999999987,9.32699999999932
"result.20",500,-1,11.857,8.97699999999895
"result.21",500,-1,12.3549999999996,9.41699999999946
"result.22",500,-1,13.3679999999986,8.60599999999977
"result.23",500,-1,13.009,9.33699999999953
"result.24",500,-1,12.2489999999998,8.74200000000019
"result.1",600,-1,13.5220000000008,8.15499999999884
"result.2",600,-1,14.746000000001,8.28299999999945
"result.3",600,-1,13.4549999999999,8.55999999999949
"result.4",600,-1,13.6529999999984,7.94700000000012
"result.5",600,-1,13.6100000000006,8.78299999999945
"result.6",600,-1,14.0959999999995,8.16100000000006
"result.7",600,-1,13.1949999999997,8.81899999999951
"result.8",600,-1,13.8780000000006,8.96500000000015
"result.9",600,-1,17.777,7.57699999999932
"result.10",600,-1,17.746000000001,7.3130000000001
"result.11",600,-1,17.1890000000003,7.26599999999962
"result.12",600,-1,17.1100000000006,7.6820000000007
"result.13",600,-1,18.3860000000004,7.68100000000049
"result.14",600,-1,17.5820000000003,7.99300000000039
"result.15",600,-1,17.9149999999991,7.42200000000048
"result.16",600,-1,17.2040000000015,7.49099999999999
"result.17",600,-1,19.0609999999997,7.78900000000067
"result.18",600,-1,18.2170000000006,7.45899999999892
"result.19",600,-1,19.514000000001,7.26399999999921
"result.20",600,-1,18.4369999999999,7.84399999999914
"result.21",600,-1,19.0560000000005,7.13700000000063
"result.22",600,-1,18.3220000000001,7.19000000000051
"result.23",600,-1,19.4069999999992,6.87800000000061
"result.24",600,-1,18.4220000000005,7.66600000000108
"result.1",700,-1,18.8299999999999,11.2639999999992
"result.2",700,-1,19.3009999999995,10.5959999999995
"result.3",700,-1,19.7620000000006,10.8289999999997
"result.4",700,-1,20.4809999999998,10.1679999999997
"result.5",700,-1,18.9459999999999,10.6150000000016
"result.6",700,-1,19.3799999999992,10.2510000000002
"result.7",700,-1,18.6639999999989,10.8670000000002
"result.8",700,-1,17.857,10.2100000000009
"result.9",700,-1,26.7250000000004,8.90799999999945
"result.10",700,-1,25.5540000000001,9.39199999999983
"result.11",700,-1,25.9039999999986,9.59599999999955
"result.12",700,-1,24.357,10.1859999999997
"result.13",700,-1,26.9369999999999,10.6720000000005
"result.14",700,-1,24.6659999999993,10.0159999999996
"result.15",700,-1,27.5609999999997,9.10599999999977
"result.16",700,-1,28.8730000000014,9.12900000000081
"result.17",700,-1,26.5730000000003,8.82500000000073
"result.18",700,-1,26.6020000000008,8.64399999999841
"result.19",700,-1,26.7670000000016,8.5
"result.20",700,-1,24.9230000000007,8.41399999999885
"result.21",700,-1,27.2420000000002,8.42500000000109
"result.22",700,-1,27.5779999999995,9.19100000000071
"result.23",700,-1,26.7699999999986,8.70600000000013
"result.24",700,-1,29.9009999999998,8.33300000000054
"result.1",800,-1,21.5879999999997,14.594000000001
"result.2",800,-1,21.6700000000001,14.3779999999988
"result.3",800,-1,22.2049999999999,13.7479999999996
"result.4",800,-1,21.7160000000003,13.5240000000013
"result.5",800,-1,21.643,12.9359999999997
"result.6",800,-1,22.5290000000005,13.8760000000002
"result.7",800,-1,21.0400000000009,14.1989999999987
"result.8",800,-1,21.3529999999992,14.0279999999984
"result.9",800,-1,31.0029999999988,13.0799999999999
"result.10",800,-1,30.6869999999999,12.0120000000006
"result.11",800,-1,28.7639999999992,12.978000000001
"result.12",800,-1,30.5830000000005,13.491
"result.13",800,-1,29.4540000000015,12.7389999999996
"result.14",800,-1,30.6880000000001,13.1799999999985
"result.15",800,-1,30.2309999999998,13.2400000000016
"result.16",800,-1,32.1200000000008,13.0370000000003
"result.17",800,-1,32.0290000000005,12.1680000000015
"result.18",800,-1,29.4899999999998,13.2970000000005
